,sentence,arg1,verb,correct_label,prediction
0, He marched into the classroom and announced the exam .,man,march,0,0
1, The stars gravitate towards each other .,star,gravitate,0,0
2, The lights were flashing .,light,flash,0,0
3, the pilot managed to land the airplane safely .,airplane,land,0,0
4, pigs were wallowing in the mud .,pig,wallow,0,0
5, The ship landed in Pearl Harbor .,ship,land,0,0
6, She poisoned her husband .,husband,poison,0,0
7, The State taxes alcohol heavily .,state,tax,0,0
8, He nodded his approval .,approval,nod,0,0
9, The teacher nodded when the student gave the right answer .,teacher,nod,0,0
10, Johnson brushed the hairs from his jacket .,hair,brush,0,0
11, steamroller the road .,road,steamroller,0,0
12, The pool slowly filled with water .,pool,fill,0,0
13, Water sprayed all over the floor .,water,spray,0,0
14, Please use a computerized disctionary .,dictionary,computerize,0,0
15, He brushed the wall lightly .,wall,brush,0,0
16, The truck dumped the garbage in the street .,garbage,dump,0,0
17, blood stagnates in the capillaries .,blood,stagnate,0,0
18, The boy kicked the dog .,dog,kick,0,0
19, The building was levelled .,building,level,0,0
20, We had to swim for 20 minutes to reach the shore .,man,swim,0,0
21, Please communicate this message to all employees .,message,communicate,0,0
22, sow the ground with sunflower seeds .,ground,sow,0,0
23, The Turks besieged Vienna .,vienna,besiege,0,0
24, The curtain ripped from top to bottom .,curtain,rip,0,0
25, spray water on someone .,water,spray,0,0
26, This mushrooms can poison .,mushroom,poison,0,0
0, He marched into the classroom and announced the exam .,man,march,0,0
1, The stars gravitate towards each other .,star,gravitate,0,0
2, The lights were flashing .,light,flash,0,0
3, the pilot managed to land the airplane safely .,airplane,land,0,0
4, pigs were wallowing in the mud .,pig,wallow,0,0
5, The ship landed in Pearl Harbor .,ship,land,0,0
6, She poisoned her husband .,husband,poison,0,0
7, The State taxes alcohol heavily .,state,tax,0,0
8, The teacher nodded when the student gave the right answer .,teacher,nod,0,0
9, Johnson brushed the hairs from his jacket .,hair,brush,0,0
10, steamroller the road .,road,steamroller,0,0
11, The pool slowly filled with water .,pool,fill,0,0
12, Water sprayed all over the floor .,water,spray,0,0
13, Please use a computerized disctionary .,dictionary,computerize,0,0
14, He brushed the wall lightly .,wall,brush,0,0
15, The truck dumped the garbage in the street .,garbage,dump,0,0
16, blood stagnates in the capillaries .,blood,stagnate,0,0
17, The boy kicked the dog .,dog,kick,0,0
18, The building was levelled .,building,level,0,0
19, We had to swim for 20 minutes to reach the shore .,man,swim,0,0
20, Please communicate this message to all employees .,message,communicate,0,0
21, sow the ground with sunflower seeds .,ground,sow,0,0
22, The Turks besieged Vienna .,vienna,besiege,0,0
23, The curtain ripped from top to bottom .,curtain,rip,0,0
24, spray water on someone .,water,spray,0,0
25, This mushrooms can poison .,mushroom,poison,0,0
