nouns,verbs,sentences,preds,true
problem,besiege, She was besieged by so many problems that she got discouraged .,00000000000000000000,00100000000000000000
way,claw, They clawed their way to the top of the mountain .,00000000000000000000,01000000000000000000
disease,communicate, communicate a disease .,00000000000000000000,10000000000000000000
martini,down, He downed three martinis before dinner .,00000000000000000000,01000000000000000000
immigrant,hunt, They hunted the unwanted immigrants out of the neighborhood .,00000000000000000000,01000000000000000000
account,juggle, juggle an account so as to hide a deficit .,00000000000000000000,10000000000000000000
check,kite, He kited many checks .,00000000000000000000,01000000000000000000
dream,match, This job does n't match my dreams .,00000000000000000000,00001000000000000000
athlete,match, Let them match their best athletes against ours .,00000000000000000000,00100000000000000000
opponent,paste, He pasted his opponent .,00000000000000000000,01000000000000000000
fifty,push, She is pushing fifty .,00000000000000000000,00100000000000000000
drug,push, The guy hanging around the school is pushing drugs .,00000000000000000000,00000001000000000000
fame,redound, Fame redounds to the heroes .,00000000000000000000,01000000000000000000
mess,reflect, The mess in his dorm room reflects on the student .,00000000000000000000,00000010000000000000
tornado,rip, The tornado ripped along the coast .,00000000000000000000,00100000000000000000
crop,rotate, We rotate the crops so as to maximize the use of the soil .,00000000000000000000,01000000000000000000
image,sell, The French try to sell us their image as great lovers .,00000000000000000000,00001000000000000000
argument,sharpen, We had to sharpen our arguments .,00000000000000000000,00010000000000000000
vision,sharpen, This drug will sharpen your vision .,00000000000000000000,00010000000000000000
image,shed, He shed his image as a pushy boss .,00000000000000000000,01000000000000000000
kettle,sing, the kettle was singing .,00000000000000000000,00010000000000000000
language,spread, The invaders spread their language all over the country .,00000000000000000000,00100000000000000000
company,stampede, Companies will now stampede to release their latest software .,00000000000000000000,00010000000000000000
mane,stream, their manes streamed like stiff black pennants in the wind .,00000000000000000000,00100000000000000000
sweat,stream, She was streaming with sweat .,00000000000000000000,00100000000000000000
dinner,top, They topped off their dinner with a cognac .,00000000000000000000,01000000000000000000
people,uproot, The war uprooted many people .,00000000000000000000,00100000000000000000
decision,wrestle, I wrestled with this decision for years .,00000000000000000000,01000000000000000000
